COD,POP,OB_Tot,OB_Tot_Tax,Tx_analf
354220,29688,29688,"5,187281056","6,5"
354230,3863,3863,"4,400724825","9,9"
354240,20124,20124,"4,521963824","7,3"
354250,9399,9399,"2,979040323","6,1"
354260,56249,56249,"3,911180643","5,4"
354270,7504,7504,"3,731343284","8,6"
354280,3351,3351,"5,669949269","12,9"
354290,13137,13137,"3,806043998","9,1"
354300,16684,16684,"4,795013186","11,4"
354310,4682,4682,"3,203759077","8,4"
354320,4542,4542,"5,504183179","7,5"
354323,2227,2227,"4,490345757","12,4"
354325,7666,7666,"3,522045395","11,8"
354330,122607,122607,"3,768137219","3,2"
354340,694534,694534,"3,495869173",3
354360,3618,3618,"4,975124378","7,6"
354370,10786,10786,"4,542926015","6,7"
354380,10003,10003,"4,498650405","10,8"
354390,204797,204797,"4,033262206","3,3"
354400,34704,34704,"2,996772706",6
354410,50241,50241,"3,363786549","4,5"
354420,12342,12342,"3,646086534","12,9"
354350,5607,5607,"4,637060817","13,7"
354425,17015,17015,"5,877167205","7,9"
354430,10621,10621,"4,425195368","5,5"
354440,3093,3093,"4,203039121","9,8"
354450,3125,3125,"6,72","8,8"
354460,5564,5564,"5,212077642","7,2"
354470,2435,2435,"6,570841889",13
354480,6253,6253,"5,917159763","9,9"
354490,11779,11779,"3,650564564",6
354500,17022,17022,"4,347315239","8,1"
354510,5262,5262,"5,131128848","12,3"
354515,8176,8176,"3,057729941","2,3"
354520,117561,117561,"3,742737813","3,8"
354530,44972,44972,"3,357644757",5
354540,9297,9297,"5,593202108","9,5"
354550,4248,4248,"1,647834275",13
354560,15397,15397,"5,000974216","6,5"
354570,5993,5993,"4,67211747","10,2"
354580,192536,192536,"3,848630905","3,9"
354600,14717,14717,"3,873071958","6,8"
354610,2118,2118,"4,249291785","9,8"
354620,4461,4461,"3,362474781","4,7"
354625,2124,2124,"3,766478343","5,8"
354630,33975,33975,"4,532744665","8,6"
354640,47395,47395,"4,135457327","5,1"
354650,5611,5611,"4,811976475","7,3"
354660,32076,32076,"5,331088664","6,8"
354670,26403,26403,"2,840586297","4,2"
354680,56792,56792,"4,085082406","7,1"
354690,8779,8779,"4,44241941","5,8"
354700,6107,6107,"3,929916489","7,7"
354710,2935,2935,"4,429301533","10,5"
354740,2510,2510,"3,585657371","10,1"
354750,27514,27514,"4,688522207","4,3"
354760,26322,26322,"3,115264798","4,6"
354765,1539,1539,"3,898635478","6,8"
354720,1507,1507,"3,98142004","7,9"
354730,136517,136517,"2,995963873","4,1"
354770,20889,20889,"4,356359807","5,9"
354780,716109,716109,"4,126466781","2,9"
354790,6880,6880,"4,505813953","5,6"
354800,23085,23085,"3,768680962","7,8"
354805,8356,8356,"4,308281474","8,7"
354810,5968,5968,"4,691689008","8,1"
354820,6794,6794,"5,445981749","8,1"
354830,3086,3086,"4,21257291","12,5"
354840,4736,4736,"2,744932432",8
354850,432957,432957,"4,157456745","2,2"
354860,10862,10862,"3,77462714","6,8"
354870,833240,833240,"3,297969373","2,9"
354880,160275,160275,"3,793479956","1,5"
354890,249415,249415,"3,644528196","3,4"
354900,2826,2826,"4,600141543","10,9"
354910,90637,90637,"4,942793782","3,8"
354920,2574,2574,"5,439005439","10,6"
354925,1912,1912,"2,615062762","10,8"
354930,2111,2111,"3,789673141","10,1"
354940,51447,51447,"3,790308473","4,1"
354950,8895,8895,"4,047217538","10,3"
354960,4151,4151,"4,577210311","10,3"
354970,54763,54763,"4,10861348","4,8"
354980,456245,456245,"3,732643645",3
354990,713943,713943,"3,454057257","2,9"
354995,15667,15667,"4,787132189","7,8"
355000,10684,10684,"3,83751404",9
355010,40781,40781,"4,291214046","5,9"
355020,32859,32859,"3,743266685","6,8"
355030,12176866,12176866,"3,518475115","3,1"
355040,35318,35318,"4,105555241","4,6"
355050,7636,7636,"3,273965427","8,3"
355060,89943,89943,"3,746817429","4,6"
355070,87596,87596,"3,139412759","5,2"
355080,12205,12205,"4,096681688","8,3"
355090,15257,15257,"3,932621092","4,2"
355100,363173,363173,"4,490972622",4
355110,10177,10177,"5,109560774",8
355120,3646,3646,"4,93691717","10,7"
355130,3470,3470,"4,322766571","7,1"
355140,14334,14334,"3,837030836","7,8"
355160,29001,29001,"4,034343643","5,9"
355150,44555,44555,"3,389069689","6,2"
355170,124453,124453,"3,840807373","5,2"
355180,12884,12884,"4,812170133","10,8"
355190,17328,17328,"4,385964912",9
355200,6264,6264,"5,906768838","11,2"
355210,40648,40648,"4,083841763","6,9"
355220,671186,671186,"3,873739917","2,9"
355230,7708,7708,"4,021795537","7,1"
355240,278571,278571,"3,295389685","4,8"
355255,3911,3911,"4,346714395","12,8"
355250,294638,294638,"3,994732519","4,9"
355260,12328,12328,"4,055807917","6,5"
355270,16345,16345,"3,915570511","8,7"
355280,285570,285570,"3,760899254","3,8"
355290,6240,6240,"4,487179487","11,5"
355300,13569,13569,"3,316382932",8
